书目ID,题名,责任者,ISBN,价格（元）,出版社,出版年,分类号,索书号,复本数
64460,月亮湖,朱子青著,978-7-5468-0973-1,CNY38.00,敦煌文艺出版社,2015,I247.7,,
64459,愧对鲁迅,李新宇著,978-7-5391-8514-9,CNY32.00,二十一世纪出版社,2013,K825.6=6,,
64458,母亲的修养决定孩子的未来,罗芬芬编著,978-7-5044-9376-7,CNY33.80,中国商业出版社,2016,G78,,
64457,补丁新娘,赵蘅著,978-7-5391-8510-1,CNY28.00,二十一世纪出版社,2013,I267,,
64456,中国法院2017年度案例,国家法官学院案例开发研究中心编,978-7-5093-8162-5,CNY58.00,中国法制出版社,2017,D925.05,,
64455,挫折是一块试金石,求真选编,978-7-5139-0440-7,CNY25.00,民主与建设出版社,2015,I14,,
64454,大时代,孤苏城著,978-7-5521-0819-4,CNY32.00,内蒙古文化出版社,2015,I247.57,,
64453,在悬崖上,邓友梅等著,978-7-5391-8280-3,CNY42.00,二十一世纪出版社集团,2013,I247.7,,
64452,山外青山,何常在著,978-7-81126-785-3,CNY39.80,贵州大学出版社,2015,I247.57,,
64451,向前一步,谢丽尔·桑德柏格， 尼尔·斯科维尔著,978-7-5086-4624-4,CNY49.00,中信出版社,2014,B848.4,,
64450,黄埔不可说的秘密,江涛著,978-7-5098-2927-1,CNY39.80,中共党史出版社,2015,E296.3,,
64449,宋庆龄一生,姜华宣编著,978-7-5098-2902-8,CNY25.00,中共党史出版社,2015,K827=74,,
64448,沟通的技术,(美) Russ Unger， Brad Nunnally， Dan Willis著,978-7-115-33168-7,CNY39.00,人民邮电出版社,2015,F272.9,,
64447,白银时代2010黑铁时代,王小波著,978-7-5354-6692-1,CNY36.00,长江文艺出版社,2013,I247.57,,
64446,康熙大帝,,978-7-5354-4055-6,CNY110.00 (4册),长江文艺出版社,2009,I247.43,,
64445,好狗狗的正面驯养,(美) 保罗·欧文斯， 诺玛·埃克莱特著,978-7-5090-1003-7,CNY35.00,当代世界出版社,2015,S829.24,,
64444,北大国学课,经典课程编委会编著,978-7-5051-3260-3,CNY39.80,红旗出版社,2014,Z126,,
64443,历史的镜子,吴晗著,978-7-5682-2068-2,CNY38.00,北京理工大学出版社,2016,K06,,
64442,我明白你会来， 所以我等,沈从文,978-7-5399-8655-5,CNY49.80,江苏凤凰文艺出版社,2015,I247.7,,
64441,锌皮娃娃兵,(白俄) S. A. 阿列克谢耶维奇著,978-7-5108-3083-9,CNY36.80,九州出版社,2014,I511.455,,
64440,生如夏花,(印) 泰戈尔著,978-7-5104-6049-4,CNY39.80,新世界出版社,2016,H319.4:I351.25,,
64439,海的梦,巴金著,978-7-5153-4397-6,CNY28.00,中国青年出版社,2016,I286.7,,
64438,时间与存在,方向红著,978-7-100-10365-7,CNY28.00,商务印书馆,2014,B516.52,,
64437,回归生命本原,陈伯海著,978-7-100-09167-1,CNY28.00,商务印书馆,2012,B083,,
64436,超值影响力,陶乐丝·卡耐基著,978-7-5568-0819-9,CNY18.00,二十一世纪出版社,2015,B848.4-49,,
64435,他若离去 后会无期,孙琳著,978-7-5126-3071-0,CNY35.00,团结出版社,2015,K826.16=73,,
64434,蒋氏家族生活秘史,廖彦博， 陈一铭著,978-7-80214-440-8,CNY29.80,团结出版社,2008,K820.9,,
64433,弄瞎我的眼睛 我还能看见你,月下著,978-7-307-17376-7,CNY36.00,武汉大学出版社,2016,K818.5,,
64432,出发和遇见,毕淑敏,978-7-5153-2899-7,CNY32.00,中国青年出版社,2015,I267,,
64431,青春当远行,毕淑敏,978-7-5153-2897-3,CNY32.00,中国青年出版社,2015,I267,,
64430,法的门前,(美) 彼得·德恩里科， 邓子滨编著,978-7-301-20643-0,CNY35.00,北京大学出版社,2012,D90,,
64429,内心没有方向， 去哪儿都是逃离,青年文摘图书中心编,978-7-5153-2435-7,CNY28.00,中国青年出版社,2014,I267,,
64428,别给人生留遗憾,毕淑敏著,978-7-5153-4445-4,CNY32.00,中国青年出版社,2016,I267,,
64427,每一次卓越都来自倔强的孤独,毕淑敏著,978-7-5153-4439-3,CNY32.00,中国青年出版社,2016,I267,,
64426,说真话,巴金著,978-7-5153-4398-3,CNY28.00,中国青年出版社,2016,I266,,
64425,通用规范汉字字典,王宁主编,978-7-100-05961-9,CNY39.90,商务印书馆,2013,H163,,
64424,心的现象,(瑞士) 耿宁著， 倪梁康编,978-7-100-09589-1,CNY42.00,商务印书馆,2012,B81-06,,
64423,唐诗三百首鉴赏辞典,(清) 蘅塘退士编,978-7-5138-0811-8,CNY32.80,华语教学出版社,2015,I207.227.42,,
64422,倚天屠龙记,金庸,978-7-5462-1337-8,CNY108.00 (4册),广州出版社,2013,I247.58,,
64421,你为什么活着,王小波著,978-7-80256-585-2,CNY36.00,群言出版社,2014,I267,,
64420,青铜时代,王小波著,978-7-80256-631-6,CNY39.00,群言出版社,2015,I247.57,,
64419,不因你远离我而放弃,若之著,978-7-5555-0727-7,CNY36.00,远方出版社,2016,I247.57,,
64418,女人就应该这么幸福,辉浩著,978-7-5044-9291-3,CNY28.00,中国商业出版社,2016,B82-49,,
64417,半生流离半生爱,雒尘著,978-7-5171-0580-0,CNY35.00,中国言实出版社,2014,K825.6=442,,
64416,“脱单”约会吧,陈小北著,978-7-5171-0575-6,CNY32.00,中国言实出版社,2014,C913.1-49,,
64415,民国的柔情,耿沫编著,978-7-5171-0627-2,CNY32.00,中国言实出版社,2015,K820.6,,
64414,长生草,铁木著,978-7-5171-0748-4,CNY32.00,中国言实出版社,2015,I247.57,,
64413,福尔摩斯探案集,(英) 柯南·道尔著,978-7-5164-0874-2,CNY29.80,企业管理出版社,2014,I561.45,,
64412,纸牌屋,(英) 迈克尔·道布斯著,978-7-5500-1400-8,CNY39.80,百花洲文艺出版社,2015,I561.45,,
64411,南怀瑾选集,,978-7-309-08677-5,CNY130.00,复旦大学出版社,2013,C52,,
64410,南怀瑾选集,,978-7-309-08678-2,CNY110.00,复旦大学出版社,2013,C52,,
64409,在生命的所有季节播种,毕淑敏著,978-7-5153-4442-3,CNY32.00,中国青年出版社,2016,I267,,
64408,短章,巴金著,978-7-5153-4399-0,CNY28.00,中国青年出版社,2016,I266,,
64407,所有的动力都来自内心的沸腾,毕淑敏著,978-7-5153-4440-9,CNY32.00,中国青年出版社,2016,I267,,
64406,用心触摸世界的温暖和美好,毕淑敏著,978-7-5153-4441-6,CNY32.00,中国青年出版社,2016,I267,,
64405,绝望之后的曙光,毕淑敏著,978-7-5153-4444-7,CNY32.00,中国青年出版社,2016,I267,,
64404,东京物语,(日) 芥川龙之介， 太宰治， 幸田露伴著,978-7-5153-3093-8,CNY24.00,中国青年出版社,2015,I313.65,,
64403,梦想与坚守,杨颖著,978-7-5106-3373-7,CNY35.00,现代教育出版社,2015,G52-53,,
64402,雾都孤儿,(英) 狄更斯著,978-7-5057-2993-3,CNY36.00,中国友谊出版公司,2013,I561.44,,
64401,一笔一画入化境,郑彥英著,978-7-5063-9213-6,CNY59.80,作家出版社,2016,J292.11,,
64400,要有多坚强， 才敢念念不忘,陈若著,978-7-5183-0514-8,CNY32.00,石油工业出版社,2015,I267,,
64399,开荒种麦子,阿琪著,978-7-5391-8512-5,CNY28.00,二十一世纪出版社,2013,I267,,
64398,人人都能活到100岁,(美) A. 维克多·赛格诺著,978-7-5143-4019-8,CNY29.80,现代出版社,2016,R161.7,,
64397,爱， 能创造奇迹,(美) 奥里森·斯韦特·马登著,978-7-5143-4018-1,CNY29.80,现代出版社,2016,B848.4-49,,
64396,纸牌屋,(英) 迈克尔·道布斯著,978-7-5500-1211-0,CNY39.80,百花洲文艺出版社,2015,I561.45,,
64395,火车上的女孩,(英) 宝拉·霍金斯著,978-7-5086-5510-9,CNY38.00,中信出版社,2015,I561.45,,
64394,醉清音,张占营著,978-7-5190-1354-7,CNY38.00,中国文联出版社,2016,I227,,
64393,将来的你， 一定会感谢现在拼命的自己,连山编著,978-7-5113-7534-6,CNY32.00,中国华侨出版社,2018,B848.4-49,,
64392,拥抱你的孤岛,童馆馆著,978-7-5472-3580-5,CNY39.80,吉林文史出版社,2017,I247.57,,
64391,黄金时代,王小波著,978-7-80256-610-1,CNY36.00,群言出版社,2014,I247.57,,
64390,风声鹤唳,张振玉译,978-7-80256-163-2,CNY28.00,群言出版社,2010,I246.57,,
64389,好好混,董月玲著,978-7-5153-1053-4,CNY30.00,中国青年出版社,2014,I253,,
64388,人性的弱点全集,(美) 卡耐基著,978-7-222-14181-0,CNY38.00,云南人民出版社,2016,C912.1-49,,
64387,全景式政府财务信息披露研究,常丽著,978-7-01-013607-3,CNY39.00,人民出版社,2014,F812,,
64386,女人受用一生的幸福课,文捷编著,978-7-5113-5188-3,CNY35.00,中国华侨出版社,2015,B82-49,,
64385,腐败,(俄) 哈布里耶娃主编,978-7-5118-6698-1,CNY65.00,法律出版社,2015,D523.4,,
64384,说话心理学,宋璐璐著,978-7-5139-1186-3,CNY32.00,民主与建设出版社,2016,C912.1-49,,
64383,和风之心,小泉八云,978-7-5463-6065-2,CNY39.80,吉林出版集团有限责任公司,2011,I313.65,,
64382,成功是闯出来的,求真选编,978-7-5139-0405-6,CNY25.00,民主与建设出版社,2014,I14,,
64381,你看不到的另一面,求真选编,978-7-5139-0364-6,CNY25.00,民主与建设出版社,2015,I14,,
64380,人性的优点全集,(美) 戴尔·卡耐基著,978-7-80753-782-3,CNY25.00,哈尔滨出版社,2009,B848.4-49,,
64379,别让现在的心态毁了未来的自己,阿尔法编著,978-7-5171-0768-2,CNY29.80,中国言实出版社,2014,B848.4-49,,
64378,法曲散歌,王立著,978-7-5118-7182-4,CNY38.00,法律出版社,2014,I267.1,,
64377,简简单单也是幸福,夏沫编著,978-7-5044-9097-1,CNY32.00,中国商业出版社,2015,B82-49,,
64376,年轮,梁晓声著,978-7-5153-3999-3,CNY66.00,中国青年出版社,2016,I247.57,,
64375,换个位置的境界,求真选编,978-7-5139-0402-5,CNY25.00,民主与建设出版社,2015,I14,,
64374,自控力,(美) 凯利·麦格尼格尔著,978-7-5502-6783-1,CNY39.80,北京联合出版公司,2016,B842.6,,
64373,换个角度也很幸福,释颢编著,978-7-5113-0989-1,CNY29.80,中国华侨出版社,2013,B82-49,,
64372,残酷才是青春,索达吉堪布著,978-7-5527-0136-4,CNY38.00,甘肃人民美术出版社,2013,B948-49,,
64371,游击战之光,王波著,978-7-5065-7050-3,CNY48.00,解放军出版社,2015,I253.2,,
64370,耐得住寂寞 守得住繁华,文茜著,978-7-5171-0944-0,CNY32.00,中国言实出版社,2014,K828.5=6,,
64369,多给别人一次机会,求真选编,978-7-5139-0401-8,CNY25.00,民主与建设出版社,2015,I14,,
64368,一步一人生,求真选编,978-7-5139-0434-6,CNY25.00,民主与建设出版社,2015,I14,,
64367,人生就是放下,星云大师著,978-7-5527-0175-3,CNY39.80,甘肃人民美术出版社,2014,B946.5-49,,
64366,光明三重唱,谢络绎著,978-7-5468-0957-1,CNY38.00,敦煌文艺出版社,2015,I247.7,,
64365,当众讲话,文天行编著,978-7-5168-0520-6,CNY35.00,台海出版社,2015,H019-49,,
64364,默克尔传,(意) 罗伯特·布鲁内利著,978-7-5000-9448-7,CNY39.00,中国大百科全书出版社,2015,K835.167=6,,
64363,中国人的尊严,王小波著,978-7-80256-586-9,CNY36.00,群言出版社,2014,I267.1,,
64362,人生是一场旅行,吴文雅编著,978-7-5008-5906-2,CNY39.80,中国工人出版社,2014,B821-49,,
64361,心若失去方向， 到哪里都是在流浪,阿拉蕾编著,978-7-5171-0718-7,CNY26.80,中国言实出版社,2014,B848.4,,
64360,做人有气度做事有尺度,牧之编著,978-7-5008-6708-1,CNY42.00,中国工人出版社,2017,B821-49,,
64359,不懂感恩， 再优秀也难以成功,陈云强， 王真编著,978-7-5164-1341-8,CNY36.80,企业管理出版社,2016,B848.4,,
64358,人性的弱点,戴尔·卡耐基著,978-7-5568-0818-2,CNY20.00,二十一世纪出版社,2015,C912.11,,
64357,侵权法过失相抵制度研究,唐慧著,978-7-5108-4465-2,CNY52.00,九州出版社,2016,D923.74,,
64356,老人与海,(美) 海明威著,978-7-5403-2474-2,CNY12.00,崇文书局,2014,I712.45,,
64355,汉译世界学术名著丛书,,978-7-100-14016-4,CNY8200.00 (190册),商务印书馆,2017,Z1,,
64354,钟鼓楼,刘心武著,978-7-02-009956-6,CNY28.00,人民文学出版社,1985,I247.57,,
64353,你只是看起来很忙,墨羽著,978-7-5044-9710-9,CNY35.00,中国商业出版社,2017,B848.4,,
64352,天边明月枕边伤,林深深著,978-7-219-07886-0,CNY35.80,广西人民出版社,2013,I247.57,,
64351,丹下左膳,长谷川海太郎,978-7-5463-6067-6,CNY36.00,吉林出版集团有限责任公司,2011,I313.45,,
64350,女人就要这样活,聂小丹编著,978-7-5430-4708-2,CNY38.00,武汉出版社,2010,B821-49,,
64349,轴心国作恶悍将,刘干才， 李奎编著,978-7-5126-3561-6,CNY29.00,团结出版社,2015,I247.53,,
64348,古希腊神话与传说,(德) 施瓦布著,978-7-5112-3895-5,CNY70.00,光明日报出版社,2013,I17(198.4),,
64347,幸运儿彼尔,(丹麦) H·彭托皮丹著,978-7-5502-4498-6,CNY60.00 (2册),北京联合出版公司,2015,I534.44,,
64346,罪与罚,(俄) 陀思妥耶夫斯基著,978-7-5112-5046-9,CNY78.00,光明日报出版社,2013,I512.44,,
64345,拍案惊奇,(明) 凌濛初著,978-7-5112-4730-8,CNY76.00,光明日报出版社,2013,I242.3,,
64344,警世通言,(明) 冯梦龙编,978-7-5112-4738-4,CNY72.00,光明日报出版社,2013,I242.3,,
64343,复活,(俄) 列夫·托尔斯泰著,978-7-5112-3567-1,CNY68.00,光明日报出版社,2013,I512.44,,
64342,你若安好， 便是春天,一介著,978-7-5113-3809-9,CNY36.00,中国华侨出版社,2013,I247.57,,
64341,倾心一笑秋波来,宗辰子著,978-7-5113-4092-4,CNY26.80,中国华侨出版社,2013,I247.57,,
64340,旅行教我的十一堂课,褚士莹著,978-7-5321-5201-8,CNY28.00,上海文艺出版社,2014,I267.4,,
64339,宇宙,(波) 维托尔德·贡布罗维奇著,978-7-5321-5391-6,CNY29.00,上海文艺出版社,2014,I513.45,,
64338,漂鸟集,泰戈尔著,978-7-5496-1702-9,CNY29.00,文汇出版社,2016,I351.25,,
64337,血脉与回望,王月鹏,978-7-5306-6586-2,CNY29.00,百花文艺出版社,2015,I267,,
64336,我的精神家园,王小波著,978-7-5142-1599-1,CNY36.00,文化发展出版社,2017,I267.1,,
64335,不孤单， 你还有幸福,叶秋著,978-7-201-10538-3,CNY33.00,天津人民出版社,2016,B82-49,,
64334,博弈心理学,裴玲编著,978-7-106-04686-6,CNY32.00,中国电影出版社,2017,B84-49,,
64333,没有地图的旅行,(英) 格雷厄姆·格林著,978-7-5321-5324-4,CNY36.00,上海文艺出版社,2014,I561.55,,
64332,素书新解,黄石公著,978-7-5139-1474-1,CNY32.80,民主与建设出版社,2017,E892.33,,
64331,中国通史,吕思勉著,978-7-5139-1339-3,CNY85.00 (全2册),民主与建设出版社,2017,K20,,
64330,凤凰传奇,蒋寒,978-7-5500-1061-1,CNY20.00,百花洲文艺出版社,2015,I247.82,,
64329,绝对机密,徐全庆,978-7-5500-0797-0,CNY20.00,百花洲文艺出版社,2014,I247.82,,
64328,二十四小时约会,魏姣著,978-7-5059-9809-4,CNY32.00,中国文联出版社,2015,I247.57,,
64327,怎样做一个内心强大的自己,马季编著,978-7-5068-4652-3,CNY32.00,中国书籍出版社,2015,B848.4-49,,
64326,向经典深度致敬,谢志强著,978-7-5511-2519-2,CNY26.00,花山文艺出版社,2016,I267.1,,
64325,英伦绅士淑女养成课,(英) E·佛利， B·科茨著,978-7-5321-5110-3,CNY29.80,上海文艺出版社,2014,Z228,,
64324,恰到好处的亲密,(美) 基拉·阿萨特里安著,978-7-5104-6069-2,CNY39.80,新世界出版社,2017,C912.11-49,,
64323,严歌苓长篇精品,,978-7-5063-9077-4,CNY146.00 (5册),作家出版社,2016,I247.5,,
64322,大佬管理学,(美) 路易斯·费南迪著,978-7-80550-879-5,CNY28.00,书海出版社,2011,F715-49,,
64321,琥珀恋人,茶韵悠悠著,978-7-5511-3021-9,CNY35.00,花山文艺出版社,2016,I247.57,,
64320,正统的与异端的,蓝棣之著,978-7-5675-2535-1,CNY52.00,华东师范大学出版社,2014,I207.25,,
64319,格兰塔,彭伦主编,978-7-5321-5196-7,CNY38.00,上海文艺出版社,2014,I561.45,,
64318,哥哥回来了,(韩) 金英夏著,978-7-5321-5170-7,CNY22.00,上海文艺出版社,2014,I312.645,,
64317,骑兵军,(苏) 伊萨克·巴别尔著,978-7-5142-1321-8,CNY29.00,印刷工业出版社,2016,I512.45,,
64316,寻墓者说,蓝英年著,978-7-5142-1238-9,CNY39.00,文化发展出版社,2016,I267.1,,
64315,没有秋虫的地方,叶圣陶著,978-7-04-044543-5,CNY29.80,高等教育出版社,2016,I266,,
64314,新月集,泰戈尔著,978-7-5496-1701-2,CNY29.00,文汇出版社,2016,I351.25,,
64313,一个人在途上,郁达夫著,978-7-04-044518-3,CNY29.80,高等教育出版社,2016,I266,,
64312,简·爱,(英) 夏洛蒂·勃朗特著,978-7-80168-949-8,CNY48.00 (含附件),研究出版社,2016,H319.4:I,,
64311,爱人树,许仙著,978-7-5068-3965-5,CNY26.00,中国书籍出版社,2015,I247.82,,
64310,奇山飘香,(美) 罗伯特·奥伦·巴特勒著,978-7-5321-5410-4,CNY32.00,上海文艺出版社,2014,I712.45,,
64309,漂亮主妇,任盈盈著,978-7-5559-0306-2,CNY35.00,河南文艺出版社,2016,I247.57,,
64308,尘世间朴素的欢喜,罗冬梅编著,978-7-5639-4879-6,CNY32.00,北京工业大学出版社,2016,B821-49,,
64307,乐死人的文学史,主编窦昕,978-7-5183-1126-2,CNY38.00,石油工业出版社,2016,I209-49,,
64306,一生最爱纳兰词,纳兰容若著,978-7-5183-0285-7,CNY38.00 (含附件),石油工业出版社,2014,I207.23,,
64305,女职工如何维权,褚军花著,978-7-5008-6403-5,CNY35.00,中国工人出版社,2016,D922.544,,
64304,绿林豪杰传,白羽著,978-7-5034-8366-0,CNY42.00,中国文史出版社,2017,I246.58,,
64303,我把青春献给你,岩波著,978-7-5034-7826-0,CNY49.80,中国文史出版社,2017,I247.57,,
64302,大陆碰撞大陆,邱华栋著,978-7-5075-4338-4,CNY48.00,华文出版社,2015,I730.74,,
64301,修身之道,申圣云编著,978-7-5171-1763-6,CNY58.00,中国言实出版社,2016,B825-49,,
64300,大江湖系列,江公著,978-7-201-09235-5,CNY32.80,天津人民出版社,2015,I247.56,,
64299,黄金荣,张艳玲著,978-7-5075-4295-0,CNY30.00,华文出版社,2015,K828.9=71,,
64298,哈佛情商课,张小宁著,978-7-5168-1146-7,CNY39.80,台海出版社,2016,B842.6-49,,
64297,心理学与人生,心灵花园著,978-7-5168-1135-1,CNY36.00,台海出版社,2016,B84-49,,
64296,门道,段树军著,978-7-5190-0114-8,CNY36.00,中国文联出版社,2015,I247.53,,
64295,心理学知道答案,心灵花园著,978-7-5168-1142-9,CNY36.00,台海出版社,2016,B84-49,,
64294,世纪末的黑洞,周伟著,978-7-5068-3956-3,CNY48.00,中国书籍出版社,2015,I247.57,,
64293,心理学与九型人格,心灵花园著,978-7-5168-1143-6,CNY39.80,台海出版社,2016,B848-49,,
64292,独自欢,李昌鹏著,978-7-5511-1929-0,CNY26.00,花山文艺出版社,2016,I267.1,,
64291,带着父母去旅行,王凯， 王锐著,978-7-5126-2263-0,CNY30.00,团结出版社,2014,I253.7,,
64290,杜月笙,张艳玲著,978-7-5075-4294-3,CNY30.00,华文出版社,2015,K828.9=71,,
64289,厚道， 是一种境界,何思成编著,978-7-5639-5116-1,CNY30.00,北京工业大学出版社,2017,B821-49,,
64288,一沙一世界,(英) 莎士比亚等著,978-7-5183-0644-2,CNY24.80,石油工业出版社,2015,H319.4:I12,,
64287,大江湖系列之缉毒,江公著,978-7-201-09288-1,CNY32.80,天津人民出版社,2015,I247.56,,
64286,夜幕下的荒宅,高强著,978-7-219-06696-6,CNY29.80,广西人民出版社,2013,I247.56,,
64285,幸福是什么？,(不丹) 吉格梅·廷莱著,978-7-119-08445-9,CNY58.00 (含光盘),外文出版社,2013,B82-49,,
64284,全民健身服务实践体系建设研究,于军， 周君华， 黄义军著,978-7-5068-3318-9,CNY78.00,中国书籍出版社,2013,G812.4,,
64283,烟花三月,非花非雾,978-7-5500-0801-4,CNY29.80,百花洲文艺出版社,2016,I247.82,,
64282,大明安庆传,陈咏梅著,978-7-201-10788-2,CNY28.00,天津人民出版社,2016,I247.53,,
64281,做人越简单越好,李世化编著,978-7-5164-0959-6,CNY35.00,企业管理出版社,2014,B821-49,,
64280,徐志摩 风往哪里吹,敏君著,978-7-5183-1014-2,CNY34.80 (含附件),石油工业出版社,2016,I267.1,,
64279,恋恋鲁西永,春十三少著,978-7-5447-1159-3,CNY29.80,译林出版社,2014,I247.57,,
64278,香粉夫人,莲灿著,978-7-201-08242-4,CNY29.90,天津人民出版社,2013,I247.57,,
64277,星空神域,方海涛著,978-7-5430-8730-9,CNY24.80,武汉出版社,2014,I247.59,,
64276,大清钱王,萧盛著,978-7-5496-1666-4,CNY36.00,文汇出版社,2016,I247.53,,
64275,想变漂亮跟我学,(韩) 南春子文,978-7-5447-4108-8,CNY29.80,译林出版社,2014,B834.3,,
64274,麻麻亮的天,杨崇德,978-7-5500-0792-5,CNY29.80,百花洲文艺出版社,2016,I247.82,,
64273,断鸿零雁记·碎簪记,苏曼殊著,978-7-5470-3629-7,CNY21.00,万卷出版公司,2015,I246,,
64272,踪迹·论雅俗共赏,朱自清著,978-7-5470-3628-0,CNY28.00,万卷出版公司,2015,I216.2,,
64271,乐死人的文学史,主编窦昕,978-7-5183-1145-3,CNY38.00,石油工业出版社,2016,I209-49,,
64270,花环,(挪) S. 温塞特著,978-7-5502-4481-8,CNY35.00,北京联合出版公司,2015,I533.45,,
64269,她是一个弱女子·迷羊,郁达夫著,978-7-5470-3619-8,CNY29.00,万卷出版公司,2015,I246.57,,
64268,鲁迅论人生,鲁迅著,978-7-02-009333-5,CNY39.00,人民文学出版社,2013,I210.96,,
64267,二把手,唐达天著,978-7-5496-0459-3,CNY39.80,文汇出版社,2013,I247.54,,
64266,婚姻如此平淡， 我们要懂得浪漫,被老公宠着著,978-7-5143-1488-5,CNY30.00,现代出版社,2013,C913.13,,
64265,游戏中的理财学,熊涛著,978-7-5459-0879-4,CNY39.00,鹭江出版社,2015,F830.59,,
64264,哲学大师的人生智慧课,吴伟丽编著,978-7-5513-0554-9,CNY29.80,太白文艺出版社,2013,B821-49,,
64263,明明动了情,安澄阳作品,978-7-5190-0219-0,CNY28.00,中国文联出版社,2015,I247.57,,
64262,富过三代学孙权,朱新月著,978-7-5171-0075-1,CNY33.00,中国言实出版社,2013,K827=363,,
64261,几处春风借与飞,中跃著,978-7-5068-4020-0,CNY30.00,中国书籍出版社,2014,K825.78=74,,
64260,偷拳,白羽著,978-7-5034-8365-3,CNY38.00,中国文史出版社,2017,I246.58,,
64259,曾是惊鸿照影来,冷孤桐著,978-7-5447-3017-4,CNY39.80 (2册),译林出版社,2014,I247.57,,
64258,胜利日,安平著,978-7-5075-4396-4,CNY38.00,华文出版社,2015,K152,,
64257,最是美好初遇时,张明， 罗娟著,978-7-5034-8191-8,CNY32.80,中国文史出版社,2017,K828.5=6,,
64256,曾经只是过去， 你的辉煌在未来,梦十一著,978-7-201-08751-1,CNY32.80,天津人民出版社,2014,B848.4-49,,
64255,美丽的结尾,(韩) 法顶禅师著,978-7-5391-5240-0,CNY24.00,二十一世纪出版社,2010,B821-49,,
64254,国粹,张晓棣著,978-7-5034-4867-6,CNY88.00,中国文史出版社,2014,K876.34,,
64253,感动人间,路建玲主编,978-7-5169-0706-1,CNY38.00,华龄出版社,2016,I247.8,,
64252,缺失的气质课,郑小薇著,978-7-5034-8647-0,CNY39.90,中国文史出版社,2017,B848.1,,
64251,我在北大的“创意写作”,陈旭光， 陈均主编,978-7-5456-0927-1,CNY46.00,贵州教育出版社,2016,I217.1,,
64250,我我我,(日) 星野智幸著,978-7-5321-4956-8,CNY27.00,上海文艺出版社,2014,I313.45,,
64249,塔楼最后一人,阿拉文德·阿迪加著,978-7-5321-5099-1,CNY39.00,上海文艺出版社,2013,I351.45,,
64248,谷雨处女作,白赛宇， 潘季平主编,978-7-106-04366-7,CNY38.00,中国电影出版社,2016,I267,,
64247,青春向前， 沧桑往后,恭小兵著,978-7-5399-6542-0,CNY25.00,江苏文艺出版社,2013,I267,,
64246,牛虻,(爱尔兰) 伏尼契著,978-7-5321-4779-3,CNY20.00,上海文艺出版社,2013,I562.44,,
64245,文工团,王安忆著,978-7-5321-4840-0,CNY29.00,上海文艺出版社,2013,I247.57,,
64244,岗上的世纪,王安忆,978-7-5321-4839-4,CNY35.00,上海文艺出版社,2013,I247.57,,
64243,弟兄们,王安忆,978-7-5321-4838-7,CNY32.00,上海文艺出版社,2013,I247.57,,
64242,刹那心光,陈伟著,978-7-5190-2279-2,CNY25.00,中国文联出版社,2016,I227.1,,
64241,浮生再记,沈君山,978-7-5321-5116-5,CNY28.00,上海文艺出版社,2014,I267,,
64240,缺失的优雅课,郑小薇著,978-7-5034-8648-7,CNY39.90,中国文史出版社,2017,B825.5,,
64239,文鸟,(日) 夏目漱石著,978-7-5034-8697-5,CNY45.00,中国文史出版社,2017,I313.65,,
64238,青年近卫军,(苏) 法捷耶夫著,978-7-5321-4752-6,CNY20.00,上海文艺出版社,2013,I512.45,,
64237,时光不老我们不散,祝小兔著,978-7-5086-3627-6,CNY35.00,中信出版社,2014,I267.1,,
